10:58:27.677 [main] INFO  n.e.journalApp.JournalApplication - Starting JournalApplication using Java 21.0.8 with PID 24040 (C:\Users\King\Desktop\SpringBoot\journalApp\journalApp\target\classes started by King in C:\Users\King\Desktop\SpringBoot\journalApp\journalApp)
10:59:19.659 [cluster-ClusterId{value='6923ed2e9ad7e0ea58b899bd', description='null'}-ac-noehszy-shard-00-01.g6sm3im.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-noehszy-shard-00-01.g6sm3im.mongodb.net:27017, type=REPLICA_SET_PRIMARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=393937000, minRoundTripTimeNanos=0, setName='atlas-ej81hg-shard-0', canonicalAddress=ac-noehszy-shard-00-01.g6sm3im.mongodb.net:27017, hosts=[ac-noehszy-shard-00-00.g6sm3im.mongodb.net:27017, ac-noehszy-shard-00-02.g6sm3im.mongodb.net:27017, ac-noehszy-shard-00-01.g6sm3im.mongodb.net:27017], passives=[], arbiters=[], primary='ac-noehszy-shard-00-01.g6sm3im.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff0000000000000167, setVersion=346, topologyVersion=TopologyVersion{processId=691cb04de3137ef834dae937, counter=6}, lastWriteDate=Mon Nov 24 10:59:19 IST 2025, lastUpdateTimeNanos=257948300357800}
10:59:19.663 [cluster-ClusterId{value='6923ed2e9ad7e0ea58b899bd', description='null'}-ac-noehszy-shard-00-01.g6sm3im.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-noehszy-shard-00-01.g6sm3im.mongodb.net:27017 with max election id 7fffffff0000000000000167 and max set version 346
10:59:20.868 [main] INFO  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with UserDetailsService bean with name userDetailsServiceImpl
10:59:21.033 [main] INFO  o.s.v.b.OptionalValidatorFactoryBean - Failed to set up a Bean Validation provider: jakarta.validation.NoProviderFoundException: Unable to create a Configuration, because no Jakarta Bean Validation provider could be found. Add a provider like Hibernate Validator (RI) to your classpath.
10:59:21.376 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
10:59:21.389 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
10:59:21.400 [main] INFO  n.e.journalApp.JournalApplication - Started JournalApplication in 5.544 seconds (process running for 6.194)
11:00:48.049 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
11:00:48.050 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
11:00:48.057 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 6 ms
11:01:13.171 [http-nio-8080-exec-3] INFO  o.s.api.AbstractOpenApiResource - Init duration for springdoc-openapi is: 777 ms
11:09:33.855 [SpringApplicationShutdownHook] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
11:09:33.933 [tomcat-shutdown] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
11:15:55.098 [main] INFO  n.e.journalApp.JournalApplication - Starting JournalApplication using Java 21.0.8 with PID 16984 (C:\Users\King\Desktop\SpringBoot\journalApp\journalApp\target\classes started by King in C:\Users\King\Desktop\SpringBoot\journalApp\journalApp)
11:15:55.101 [main] INFO  n.e.journalApp.JournalApplication - No active profile set, falling back to 1 default profile: "default"
11:15:56.843 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
11:15:56.845 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
11:15:57.057 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 198 ms. Found 2 MongoDB repository interfaces.
11:15:57.091 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
11:15:57.094 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
11:15:57.115 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface net.engineeringdigest.journalApp.repository.JournalEntryRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
11:15:57.116 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface net.engineeringdigest.journalApp.repository.UserRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
11:15:57.116 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 9 ms. Found 0 Redis repository interfaces.
11:15:57.930 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
11:15:57.947 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
11:15:57.951 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
11:15:57.952 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.48]
11:15:58.039 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
11:15:58.040 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2825 ms
11:15:58.496 [cluster-ClusterId{value='6923f1162583be34e2160ce5', description='null'}-srv-cluster0.g6sm3im.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-noehszy-shard-00-00.g6sm3im.mongodb.net:27017 to client view of cluster
11:15:58.559 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "5.5.2"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Oracle Corporation/21.0.8+12-LTS-250"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='King', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@55c1ced9, com.mongodb.Jep395RecordCodecProvider@49cc9b2a, com.mongodb.KotlinCodecProvider@11826398]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.g6sm3im.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-ej81hg-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverMonitoringMode=AUTO, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='null', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null, timeoutMS=null}
11:15:58.573 [cluster-ClusterId{value='6923f1162583be34e2160ce5', description='null'}-srv-cluster0.g6sm3im.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-noehszy-shard-00-02.g6sm3im.mongodb.net:27017 to client view of cluster
11:15:58.578 [cluster-ClusterId{value='6923f1162583be34e2160ce5', description='null'}-srv-cluster0.g6sm3im.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-noehszy-shard-00-01.g6sm3im.mongodb.net:27017 to client view of cluster
11:15:59.201 [main] INFO  org.mongodb.driver.cluster - Waiting for server to become available for operation with ID 5. Remaining time: 29987 ms. Selector: WritableServerSelector, topology description: {type=REPLICA_SET, servers=[{address=ac-noehszy-shard-00-02.g6sm3im.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=ac-noehszy-shard-00-00.g6sm3im.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=ac-noehszy-shard-00-01.g6sm3im.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}].
11:15:59.481 [cluster-ClusterId{value='6923f1162583be34e2160ce5', description='null'}-ac-noehszy-shard-00-00.g6sm3im.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-noehszy-shard-00-00.g6sm3im.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=485439000, minRoundTripTimeNanos=0, setName='atlas-ej81hg-shard-0', canonicalAddress=ac-noehszy-shard-00-00.g6sm3im.mongodb.net:27017, hosts=[ac-noehszy-shard-00-00.g6sm3im.mongodb.net:27017, ac-noehszy-shard-00-02.g6sm3im.mongodb.net:27017, ac-noehszy-shard-00-01.g6sm3im.mongodb.net:27017], passives=[], arbiters=[], primary='ac-noehszy-shard-00-01.g6sm3im.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=346, topologyVersion=TopologyVersion{processId=691cad73511e12a3a54981c4, counter=4}, lastWriteDate=Mon Nov 24 11:15:59 IST 2025, lastUpdateTimeNanos=258948122400700}
11:15:59.482 [cluster-ClusterId{value='6923f1162583be34e2160ce5', description='null'}-ac-noehszy-shard-00-02.g6sm3im.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-noehszy-shard-00-02.g6sm3im.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=485485500, minRoundTripTimeNanos=0, setName='atlas-ej81hg-shard-0', canonicalAddress=ac-noehszy-shard-00-02.g6sm3im.mongodb.net:27017, hosts=[ac-noehszy-shard-00-00.g6sm3im.mongodb.net:27017, ac-noehszy-shard-00-02.g6sm3im.mongodb.net:27017, ac-noehszy-shard-00-01.g6sm3im.mongodb.net:27017], passives=[], arbiters=[], primary='ac-noehszy-shard-00-01.g6sm3im.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=346, topologyVersion=TopologyVersion{processId=691cb2eb5aa25627507cb0b5, counter=3}, lastWriteDate=Mon Nov 24 11:15:59 IST 2025, lastUpdateTimeNanos=258948122400800}
11:15:59.483 [cluster-ClusterId{value='6923f1162583be34e2160ce5', description='null'}-ac-noehszy-shard-00-01.g6sm3im.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-noehszy-shard-00-01.g6sm3im.mongodb.net:27017, type=REPLICA_SET_PRIMARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=485485200, minRoundTripTimeNanos=0, setName='atlas-ej81hg-shard-0', canonicalAddress=ac-noehszy-shard-00-01.g6sm3im.mongodb.net:27017, hosts=[ac-noehszy-shard-00-00.g6sm3im.mongodb.net:27017, ac-noehszy-shard-00-02.g6sm3im.mongodb.net:27017, ac-noehszy-shard-00-01.g6sm3im.mongodb.net:27017], passives=[], arbiters=[], primary='ac-noehszy-shard-00-01.g6sm3im.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff0000000000000167, setVersion=346, topologyVersion=TopologyVersion{processId=691cb04de3137ef834dae937, counter=6}, lastWriteDate=Mon Nov 24 11:15:59 IST 2025, lastUpdateTimeNanos=258948122400800}
11:15:59.487 [cluster-ClusterId{value='6923f1162583be34e2160ce5', description='null'}-ac-noehszy-shard-00-01.g6sm3im.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-noehszy-shard-00-01.g6sm3im.mongodb.net:27017 with max election id 7fffffff0000000000000167 and max set version 346
11:16:01.006 [main] INFO  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with UserDetailsService bean with name userDetailsServiceImpl
11:16:01.242 [main] INFO  o.s.v.b.OptionalValidatorFactoryBean - Failed to set up a Bean Validation provider: jakarta.validation.NoProviderFoundException: Unable to create a Configuration, because no Jakarta Bean Validation provider could be found. Add a provider like Hibernate Validator (RI) to your classpath.
11:16:01.628 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
11:16:01.651 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
11:16:01.665 [main] INFO  n.e.journalApp.JournalApplication - Started JournalApplication in 7.15 seconds (process running for 7.922)
11:17:44.531 [SpringApplicationShutdownHook] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
11:17:44.549 [tomcat-shutdown] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
11:18:15.009 [main] INFO  n.e.journalApp.JournalApplication - Starting JournalApplication using Java 21.0.8 with PID 31564 (C:\Users\King\Desktop\SpringBoot\journalApp\journalApp\target\classes started by King in C:\Users\King\Desktop\SpringBoot\journalApp\journalApp)
11:18:15.012 [main] INFO  n.e.journalApp.JournalApplication - No active profile set, falling back to 1 default profile: "default"
11:18:16.219 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
11:18:16.221 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
11:18:16.404 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 175 ms. Found 2 MongoDB repository interfaces.
11:18:16.427 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
11:18:16.429 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
11:18:16.452 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface net.engineeringdigest.journalApp.repository.JournalEntryRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
11:18:16.452 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface net.engineeringdigest.journalApp.repository.UserRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
11:18:16.452 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 10 ms. Found 0 Redis repository interfaces.
